date,Kahu,Kandaghat,Kasauli,Solan,Arki
25-09-2011,0,0,0,0,0
26-09-2011,0,0,0,0,0
27-09-2011,0,0,0,0,0
28-09-2011,0,0,0,0,0
29-09-2011,0,0,0,0,0
30-09-2011,0,0,0,0,0
01-10-2011,0,0,0.5,0,0
02-10-2011,0,0,0,0,0
03-10-2011,1.8,0,0,0,0
04-10-2011,0,0,0,0,0
05-10-2011,0,0,0,0,0
06-10-2011,0,0,0,0,0
07-10-2011,0,0,0,0,0
08-10-2011,0,0,0,0,0
09-10-2011,0,0,0,0,0
10-10-2011,0,0,0,0,0
11-10-2011,0,0,0,0,0
12-10-2011,0,0,0,0,0
13-10-2011,0,0,0,0,0
14-10-2011,0,0,0,0,0
15-10-2011,0,0,0,0,0
16-10-2011,0,0,0,0,0
17-10-2011,0,0,0,0,0
18-10-2011,0,0,0,0,0
19-10-2011,0,0,0,0,0
20-10-2011,0,0,0,0,0
21-10-2011,0,0,0,0,0
22-10-2011,0,0,0,0,0
23-10-2011,0,0,0,0,0
24-10-2011,0,0,0,0,0
25-10-2011,0,0,0,0,0
26-10-2011,0,0,0,0,0
27-10-2011,0,0,0,0,0
28-10-2011,0,0,0,0,0
29-10-2011,0,0,0,0,0
30-10-2011,0,0,0,0,0
31-10-2011,0,0,0,0,0
01-11-2011,0,0,0,0,0
02-11-2011,0,0,0,0,0
03-11-2011,0,0,0,0,0
04-11-2011,0,0,0,0,0
05-11-2011,0,0,0,0,0
06-11-2011,0,0,0,0,0
07-11-2011,0,0,0,0,0
08-11-2011,0,0,0,0,0
09-11-2011,0,0,0,0,0
10-11-2011,0,0,0,0,0
11-11-2011,0,0,0,0,0
12-11-2011,0,0,0,0,0
13-11-2011,0,0,0,0,0
14-11-2011,0,0,0,0,0
15-11-2011,0,0,0,0,0
16-11-2011,0,0,0,0,0
17-11-2011,0,0,0,0,0
18-11-2011,0,0,0,0,0
19-11-2011,0,0,0,0,0
20-11-2011,0,0,0,0,0
21-11-2011,0,0,0,0,0
22-11-2011,0,0,0,0,0
23-11-2011,0,0,0,0,0
24-11-2011,0,0,0,0,0
25-11-2011,0,0,0,0,0
26-11-2011,0,0,0,0,0
27-11-2011,0,0,0,0,0
28-11-2011,0,0,0,0,0
29-11-2011,0,0,0,0,0
30-11-2011,0,0,0,0,0
01-12-2011,0,0,0,0,0
02-12-2011,0,0,0,0,0
03-12-2011,0,0,0,0,0
04-12-2011,0,0,0,0,0
05-12-2011,0,0,0,0,0
06-12-2011,0,0,0,0,0
07-12-2011,3.5,8.2,4,13.8,4
08-12-2011,0,0,0,6.8,0
09-12-2011,17.2,16.8,3.5,7.6,14
10-12-2011,0,0,0,0,0
11-12-2011,0,0,0,0,0
12-12-2011,0,0,0,0,0
13-12-2011,0,0,0,0,0
14-12-2011,0,0,0,0,0
15-12-2011,0,0,0,0,0
16-12-2011,0,0,0,0,0
17-12-2011,0,0,0,0,0
18-12-2011,0,0,0,0,0
19-12-2011,0,0,0,0,0
20-12-2011,0,0,0,0,0
21-12-2011,0,0,0,0,0
22-12-2011,0,0,0,0,0
23-12-2011,0,0,0,0,0
24-12-2011,0,0,0,0,0
25-12-2011,0,0,0,0,0
26-12-2011,0,0,0,0,0
27-12-2011,0,0,0,0,0
28-12-2011,0,0,0,0,0
29-12-2011,0,0,0,0,0
30-12-2011,0,0,0,0,0
31-12-2011,0,0,0,0,0
01-01-2012,0.5,0,1,0,0
02-01-2012,0,0,0,0,0
03-01-2012,0,0,0,0,0
04-01-2012,0,0,0,0,0
05-01-2012,1,2.4,0,1,0
06-01-2012,0,0,0,0,0
07-01-2012,0.8,6.5,0,6,4
08-01-2012,54.8,15.2,0,6.8,0
09-01-2012,8.4,10.3,1,13,28
10-01-2012,0,0,0,0,0
11-01-2012,0,0,0,0,0
12-01-2012,0,4.1,0,0,5
13-01-2012,0,0,0,0,0
14-01-2012,0,0,0,0,0
15-01-2012,1.6,2.4,0,2.4,21
16-01-2012,37.5,38,5,32.7,35
17-01-2012,9.4,3.8,20.8,4,5
18-01-2012,0,0,6.8,0,0
19-01-2012,2.9,0,0,0,0
20-01-2012,0,0,0,0,0
21-01-2012,0,0,0,0,0
22-01-2012,0,0,0,0,0
23-01-2012,0,0,0,0,0
24-01-2012,0,0,0,0,0
25-01-2012,0,0,0,0,0
26-01-2012,0,0,0,0,0
27-01-2012,0,0,0,0,0
